huggingface_ID,parameters (B),open_llm_average,IFEval,BBH,MATH,GPQA,MUSR,MMLU-Pro,dataset,seed,final_layer_matrix_rank,final_layer_DSE,final_layer_VNE,matrix_rank_arr,DSE_arr,VNE_arr
Qwen/Qwen2.5-14B-Instruct-1M,14.0,41.56,84.14,45.66,53.02,12.42,11.35,42.77,wikipedia,0,708,3.780613422393799,4.084776401519775,"[292 705 706 708 708 389 437 467 491 505 539 571 601 621 631 639 642 652
 662 676 685 692 696 700 701 703 707 708 708 708 708 708 708 708 708 708
 708 708 708 708 708 708 708 708 708 708 708 708 708]","[5.3977776 4.1214833 3.8432593 4.0920224 4.2459345 4.499369  4.711939
 4.811971  4.780864  4.794616  4.866878  4.7299438 4.799154  4.9154315
 4.963055  5.148274  5.086789  5.113972  5.150258  5.149246  5.1108747
 5.0811496 5.0117407 5.0139275 4.82819   4.6708765 4.773548  4.783115
 4.8323364 4.6012726 4.6556    4.608232  4.4451094 4.487315  4.4702516
 4.346492  4.350343  4.2824984 4.183992  4.1235776 4.017838  3.8166504
 3.7630053 3.782148  3.7516448 3.685759  3.5902488 3.01188   3.7806134]","[6.937654  4.8587856 4.4547257 4.7871966 4.9904795 5.3406706 5.6470723
 5.793854  5.736909  5.754208  5.8658595 5.6546345 5.739387  5.902043
 5.969109  6.252684  6.136361  6.182713  6.2314906 6.2228675 6.163422
 6.1134744 6.0048714 6.001888  5.7247744 5.5032015 5.6518335 5.667636
 5.738542  5.4001265 5.4708724 5.4095845 5.184597  5.250877  5.231936
 5.067476  5.074772  4.984468  4.847006  4.764716  4.6178145 4.3354974
 4.2598586 4.2766685 4.2357993 4.1443973 4.0382557 3.2998524 4.0847764]"
Qwen/Qwen2.5-14B-Instruct-1M,14.0,41.56,84.14,45.66,53.02,12.42,11.35,42.77,pubmed,0,577,3.336246967315674,3.569633960723877,"[324 577 577 577 577 398 430 447 466 477 498 526 547 560 564 570 572 575
 576 577 577 577 577 577 577 577 577 577 577 577 577 577 577 577 577 577
 577 577 577 577 577 577 577 577 577 577 577 577 577]","[5.6756763 4.408638  4.0785394 4.2614384 4.407914  4.6284976 4.7903666
 4.848794  4.8602595 4.8609962 4.8861594 4.6521716 4.671845  4.7762995
 4.826039  4.986105  5.0009866 5.0485873 5.0657578 5.1049376 5.044163
 5.0087285 4.9788456 4.9589353 4.838866  4.717024  4.760955  4.771158
 4.800617  4.6503153 4.63036   4.5736446 4.434778  4.481533  4.468455
 4.37028   4.3607984 4.255719  4.139501  4.068615  3.9565306 3.7699807
 3.6754827 3.6404948 3.514149  3.4282675 3.284614  2.8258364 3.336247 ]","[7.3800683 5.291348  4.8018    5.049741  5.247618  5.5579515 5.799206
 5.8844137 5.893976  5.8879256 5.924986  5.5751886 5.596494  5.7470136
 5.8115788 6.047694  6.054864  6.126355  6.149739  6.2072163 6.1163588
 6.060441  6.010657  5.9765673 5.795788  5.6157975 5.68408   5.7024508
 5.7445726 5.5198927 5.485394  5.4045925 5.212832  5.285093  5.266987
 5.1329327 5.121957  4.9754643 4.81343   4.717202  4.5618167 4.3045416
 4.1810293 4.1352    3.9721925 3.8616898 3.6807585 3.0929043 3.569634 ]"
Qwen/Qwen2.5-14B-Instruct-1M,14.0,41.56,84.14,45.66,53.02,12.42,11.35,42.77,imdb,0,557,3.6579692363739014,3.965468406677246,"[291 555 555 557 557 357 396 414 433 443 463 480 493 504 510 517 522 527
 532 537 539 544 544 548 550 553 554 554 555 556 556 557 557 557 557 557
 557 557 557 557 557 557 557 557 557 557 557 557 557]","[5.5154943 4.3641477 4.0844154 4.2837114 4.4487348 4.6674037 4.8231125
 4.8999925 4.8828526 4.8363943 4.824418  4.574346  4.6354494 4.775152
 4.866573  5.0204163 4.9941173 5.0527215 5.100777  5.058524  4.9904795
 5.0161247 4.942892  4.989799  4.844527  4.6610584 4.693901  4.686
 4.777194  4.6517243 4.651937  4.59478   4.4702077 4.520258  4.5210705
 4.4534864 4.480732  4.293568  4.2026453 4.1526756 4.004875  3.7521555
 3.6590428 3.6235962 3.5249481 3.4798365 3.4206748 2.9540591 3.6579692]","[7.132653  5.242595  4.8230724 5.10047   5.3295393 5.6441073 5.878347
 5.991848  5.954583  5.8778276 5.855031  5.4723387 5.550987  5.7527575
 5.883008  6.115301  6.0587196 6.1464014 6.216214  6.148677  6.047137
 6.0796556 5.966252  6.031769  5.8104076 5.546593  5.5949135 5.5836735
 5.718632  5.53651   5.531493  5.450588  5.27639   5.3539615 5.3563623
 5.264539  5.3006196 5.0357366 4.904231  4.8358655 4.633316  4.2848687
 4.163704  4.113383  3.9834657 3.9186761 3.8434522 3.2474132 3.9654684]"
Qwen/Qwen2.5-14B-Instruct-1M,14.0,41.56,84.14,45.66,53.02,12.42,11.35,42.77,squad,0,829,4.816453456878662,5.4195051193237305,"[175 549 538 571 609 248 260 268 277 284 298 320 341 368 399 423 443 477
 508 544 575 607 630 641 661 685 734 761 783 794 814 820 823 827 828 829
 829 829 829 829 829 829 829 829 829 829 829 829 829]","[5.2323136 3.9765058 3.7049289 3.8852475 4.057088  4.294925  4.4634695
 4.4891996 4.4438605 4.4440556 4.452243  4.2902675 4.3549285 4.4644513
 4.4392576 4.6158156 4.6173    4.7493777 4.7998405 4.9142575 4.8961105
 4.930643  4.948374  4.954816  4.8419776 4.7910347 4.8209996 4.818432
 4.911006  4.793719  4.843689  4.773535  4.6191306 4.5980773 4.7050204
 4.549182  4.570878  4.6876116 4.6055875 4.4694223 4.4133883 4.3001533
 4.2522507 4.272132  4.2910457 4.337208  4.2563133 3.8222907 4.8164535]","[6.7250834 4.7332225 4.332544  4.5767756 4.8122272 5.146175  5.373213
 5.400491  5.3266735 5.313433  5.323967  5.081853  5.1753774 5.3278704
 5.273699  5.5081596 5.486708  5.6555552 5.7123656 5.855637  5.8130255
 5.856042  5.868414  5.8642116 5.7116756 5.6349688 5.6928663 5.688005
 5.81241   5.6433277 5.716588  5.6178045 5.400117  5.3772764 5.5188513
 5.2952986 5.3158064 5.495446  5.3769436 5.176243  5.09707   4.937659
 4.865787  4.8937063 4.9319997 4.9890485 4.891938  4.272503  5.419505 ]"
Qwen/Qwen2.5-14B-Instruct-1M,14.0,41.56,84.14,45.66,53.02,12.42,11.35,42.77,wikipedia,1,659,3.6182286739349365,3.850722551345825,"[300 658 659 659 659 276 303 325 348 361 396 423 458 478 485 499 489 497
 507 526 534 538 548 555 554 566 582 599 623 631 640 648 653 656 659 659
 659 659 659 659 659 659 659 659 659 659 659 659 659]","[5.471183  4.269753  3.977006  4.207542  4.350691  4.59516   4.766995
 4.8070025 4.7524004 4.7066298 4.744121  4.586034  4.660106  4.77044
 4.827891  4.9885287 4.9367714 5.0029006 5.0428953 5.0412393 5.0306106
 5.024083  4.9614277 4.8848686 4.6923137 4.5300794 4.6609163 4.644786
 4.7341948 4.5283213 4.5639305 4.4869127 4.2736773 4.3150854 4.297418
 4.1398196 4.083023  3.9448786 3.8152626 3.738419  3.6045916 3.4178443
 3.367459  3.3807912 3.3169556 3.2625713 3.1465256 2.6997008 3.6182287]","[7.0766077 5.093281  4.658739  4.9685264 5.157969  5.502403  5.7517133
 5.8092394 5.715566  5.64883   5.706748  5.45685   5.5427985 5.7039347
 5.783661  6.0244646 5.92665   6.0257134 6.081042  6.0738955 6.0571957
 6.044397  5.9468155 5.8329597 5.5468664 5.3175864 5.5034676 5.480743
 5.6105413 5.3123074 5.3577337 5.2531385 4.956657  5.021964  5.0005507
 4.789151  4.7154045 4.5282116 4.352853  4.249366  4.0663347 3.8045192
 3.73252   3.7383876 3.6610653 3.5924335 3.4641247 2.915527  3.8507226]"
Qwen/Qwen2.5-14B-Instruct-1M,14.0,41.56,84.14,45.66,53.02,12.42,11.35,42.77,pubmed,1,691,3.7268521785736084,4.021928310394287,"[386 691 691 691 691 475 512 535 558 574 606 638 660 668 676 680 682 685
 687 689 690 691 691 691 691 691 691 691 691 691 691 691 691 691 691 691
 691 691 691 691 691 691 691 691 691 691 691 691 691]","[5.80357   4.495625  4.1847663 4.381239  4.5150123 4.769752  4.9472666
 5.0079107 5.0434074 5.033233  5.055494  4.872663  4.919508  5.0042686
 5.032191  5.1666164 5.193399  5.2318997 5.237265  5.2746944 5.2149477
 5.1681595 5.127833  5.1191096 4.99534   4.881564  4.9419756 4.9436626
 4.9778976 4.8123665 4.786663  4.7584953 4.6337023 4.6656585 4.6650224
 4.54696   4.5281143 4.4530153 4.3514113 4.2903566 4.1986227 4.0408335
 3.9689054 3.941929  3.8590136 3.781077  3.6389651 3.150257  3.7268522]","[7.561426  5.380176  4.921457  5.18907   5.369698  5.732646  5.997957
 6.085321  6.1292863 6.1029024 6.131901  5.8490806 5.9107504 6.0393
 6.073385  6.274381  6.2958302 6.3548255 6.360942  6.414279  6.326374
 6.253407  6.1891603 6.1716    5.986948  5.8209085 5.910918  5.9145336
 5.963119  5.716048  5.672883  5.631235  5.4580073 5.5105114 5.5106535
 5.3531957 5.328346  5.22306   5.081624  4.9977307 4.867577  4.6420302
 4.545762  4.507771  4.4020967 4.297016  4.1186857 3.4782922 4.0219283]"
Qwen/Qwen2.5-14B-Instruct-1M,14.0,41.56,84.14,45.66,53.02,12.42,11.35,42.77,imdb,1,568,3.5561695098876953,3.7894961833953857,"[306 568 568 568 568 393 431 450 469 482 502 520 536 546 551 553 556 559
 562 564 564 564 565 565 566 567 567 567 568 568 568 568 568 568 568 568
 568 568 568 568 568 568 568 568 568 568 568 568 568]","[5.547774  4.3821588 4.1015573 4.2941437 4.4453373 4.6851816 4.848318
 4.9051266 4.8948135 4.8697157 4.8767242 4.606126  4.64934   4.7888746
 4.844555  4.992192  4.9734907 5.0256147 5.0774026 5.072329  5.0010386
 5.0406833 4.941564  4.98575   4.8288474 4.669749  4.6643915 4.646659
 4.7232504 4.6137223 4.602118  4.579648  4.4585466 4.520747  4.512844
 4.438541  4.4994984 4.277677  4.1806803 4.1388617 3.964736  3.7094195
 3.6236024 3.573043  3.4571285 3.3921874 3.3125205 2.913237  3.5561695]","[7.166591  5.2467413 4.826568  5.0898323 5.294363  5.635333  5.879578
 5.961141  5.9345756 5.892585  5.9022045 5.4957066 5.5511575 5.752981
 5.8273005 6.048745  6.004675  6.082223  6.1588354 6.148858  6.0418277
 6.100163  5.952018  6.016832  5.7788415 5.5508575 5.5450296 5.5213594
 5.6326423 5.474937  5.455852  5.4257264 5.253694  5.3499503 5.3371067
 5.234988  5.3172693 5.000362  4.8593063 4.802745  4.566938  4.218256
 4.106309  4.0386586 3.88829   3.801875  3.7035723 3.187465  3.7894962]"
Qwen/Qwen2.5-14B-Instruct-1M,14.0,41.56,84.14,45.66,53.02,12.42,11.35,42.77,squad,1,848,5.428059101104736,6.500022888183594,"[287 754 743 771 798 399 430 450 467 480 509 536 562 588 616 639 654 682
 713 746 774 801 815 824 830 841 848 848 848 848 848 848 848 848 848 848
 848 848 848 848 848 848 848 848 848 848 848 848 848]","[5.424517  4.2777815 3.9698691 4.151449  4.332925  4.563988  4.7549186
 4.8166842 4.7761326 4.759248  4.7436724 4.590281  4.641834  4.791939
 4.782639  4.9581428 4.9945445 5.1104126 5.1660643 5.2561693 5.275503
 5.268018  5.2944574 5.2308836 5.1239076 5.1421    5.166128  5.2116838
 5.3273225 5.221926  5.294111  5.292461  5.225266  5.223571  5.3386283
 5.2489433 5.247629  5.2615047 5.183566  5.1163826 5.078772  4.9981947
 4.9962344 5.084318  5.0471873 5.1100183 4.99892   4.570004  5.428059 ]","[6.9925013 5.105999  4.6506996 4.8972745 5.1455774 5.4738326 5.749484
 5.8304367 5.7586546 5.721841  5.6882057 5.454644  5.525215  5.739682
 5.7048354 5.948781  5.9791584 6.1304016 6.2084985 6.334588  6.3568234
 6.3465533 6.3786564 6.2804914 6.1195393 6.137766  6.185488  6.253087
 6.4267855 6.267591  6.377617  6.364834  6.253035  6.255479  6.4216332
 6.2788067 6.2867556 6.3259788 6.2121305 6.1112247 6.0715685 5.9596553
 5.9513497 6.0648446 6.0172653 6.098893  5.9542046 5.3045874 6.500023 ]"
Qwen/Qwen2.5-14B-Instruct-1M,14.0,41.56,84.14,45.66,53.02,12.42,11.35,42.77,wikipedia,2,755,4.156207084655762,4.604342937469482,"[283 744 744 751 755 384 431 471 500 523 559 597 636 659 668 679 683 695
 705 718 720 727 733 738 742 748 751 753 753 752 752 752 752 754 754 754
 755 755 755 755 755 755 755 755 755 755 755 755 755]","[5.288775  3.9140718 3.6848943 3.9499698 4.1192718 4.4167385 4.6233563
 4.7692776 4.768844  4.7838526 4.862627  4.743998  4.8265142 4.939238
 4.9849806 5.1306677 5.098708  5.127594  5.152566  5.157014  5.144039
 5.096861  5.060424  5.02186   4.90766   4.7446146 4.884556  4.8706617
 4.913929  4.717989  4.7338443 4.673362  4.554151  4.547522  4.5479407
 4.439822  4.3990145 4.371302  4.327727  4.3087626 4.278742  4.2409787
 4.2183185 4.260322  4.197062  4.112726  3.9849596 3.3490388 4.156207 ]","[6.771389  4.54831   4.2217345 4.5685115 4.7886405 5.193038  5.497554
 5.719378  5.7157636 5.731915  5.8468747 5.654819  5.7516236 5.914858
 5.983724  6.2114167 6.14191   6.190017  6.222983  6.2197223 6.200265
 6.130624  6.0696974 6.0068893 5.8354163 5.602566  5.8065114 5.788982
 5.8524003 5.56444   5.582014  5.5000606 5.3334184 5.3315763 5.3355603
 5.188689  5.1322813 5.0954504 5.0274878 4.9984074 4.939498  4.8550296
 4.815472  4.8663855 4.8012843 4.6905084 4.549953  3.7165394 4.604343 ]"
Qwen/Qwen2.5-14B-Instruct-1M,14.0,41.56,84.14,45.66,53.02,12.42,11.35,42.77,pubmed,2,655,3.46474027633667,3.725539445877075,"[388 655 655 655 655 471 503 520 546 560 587 613 631 640 643 646 648 651
 654 654 655 655 655 655 655 655 655 655 655 655 655 655 655 655 655 655
 655 655 655 655 655 655 655 655 655 655 655 655 655]","[5.8641267 4.6174674 4.270373  4.418287  4.5375605 4.774881  4.923382
 4.9702883 4.999977  5.0104713 5.025727  4.8476906 4.879366  4.9727645
 5.007977  5.125415  5.152912  5.201409  5.1943603 5.2288275 5.158595
 5.1161346 5.080985  5.044024  4.908642  4.7776427 4.8343883 4.8502254
 4.8765974 4.731402  4.699847  4.647934  4.535643  4.585793  4.5631266
 4.4899273 4.4831324 4.369809  4.2747073 4.193394  4.0739036 3.8989527
 3.8051891 3.771422  3.6535373 3.5609636 3.4140408 2.9444427 3.4647403]","[7.6717377 5.5683074 5.0510945 5.250833  5.411463  5.7508893 5.9769087
 6.045372  6.0847836 6.091359  6.1077957 5.8277774 5.8661833 6.0075464
 6.0535965 6.2265024 6.246972  6.3190217 6.306739  6.356362  6.2518625
 6.185017  6.1284647 6.067917  5.8637652 5.6737113 5.7583504 5.783692
 5.821183  5.6059895 5.5574274 5.483482  5.3285794 5.405771  5.376509
 5.2778287 5.27217   5.1148667 4.982115  4.8726764 4.705596  4.4603276
 4.3377843 4.2940645 4.1427717 4.0250382 3.8387215 3.2344275 3.7255394]"
